Time,Lon,Lat,Alt,MAC,Signal,ID,Channel
03/12/2017 08:46,35.20879731653349,32.10297746880038,701.9387633019671,1c:b9:c4:12:90:b8,-74,Ariel_University,11
03/12/2017 08:46,35.20947285972674,32.10206173092713,700.4320999661207,fc:3f:db:9c:36:3d,-79,DIRECT-5C-HP DeskJet 3630 series,6
03/12/2017 08:40,35.2096085,32.10457103,692.8918491,1c:b9:c4:14:62:4c,-74,Ariel_University,36
03/12/2017 08:38,35.20788087,32.10441405,689.9496965,1c:b9:c4:16:cd:68,-86,Ariel_University,11
03/12/2017 08:37,35.20734901,32.10251814,698.9056862,b0:48:7a:a1:80:8c,-86,Knoch,4
03/12/2017 08:50,35.209175811335484,32.10231850810012,691.9385187753959,a0:ab:1b:60:b4:ca,-79,36518749,8
03/12/2017 08:51,35.211229991825604,32.10475063327358,699.6870731030044,1c:b9:c4:95:44:87,-86, ,36
03/12/2017 08:46,35.209526772753385,32.102030001802184,696.2765809122303,1c:b9:c4:15:3d:58,-69,Ariel_University,11
03/12/2017 08:40,35.21071549,32.10506215,692.6868607,1c:b9:c4:14:30:0c,-85,Ariel_University,36
03/12/2017 08:46,35.21002971,32.10263052,712.9572535,1c:b9:c4:95:1e:67,-89, ,36
03/12/2017 08:37,35.20734901,32.10251814,698.9056862,10:be:f5:39:8f:f2,-86,LARISA,3
03/12/2017 08:41,35.2089122909509,32.10318778731778,694.572824058573,1c:b9:c4:12:90:bc,-77,Ariel_University,40
03/12/2017 08:43,35.2107580986221,32.104697508081955,693.5155460323649,ec:8c:a2:08:79:a8,-74,Ariel_University,6
03/12/2017 08:46,35.21001902,32.10225656,692.0,e8:94:f6:d5:98:86,-94,TP-LINK_D59886,9
03/12/2017 08:37,35.20778663,32.10332339,690.7687922,ec:8c:a2:88:78:37,-90, ,40
03/12/2017 08:41,35.209094317070004,32.102449822510145,695.5259023534455,1c:b9:c4:16:11:a8,-76,Ariel_University,1
03/12/2017 08:50,35.20885656,32.10377002,710.3643464,1c:b9:c4:96:1d:77,-85, ,44
03/12/2017 08:44,35.21116457542034,32.10515114619666,700.3504652654074,1c:b9:c4:15:36:98,-81,Ariel_University,1
03/12/2017 08:46,35.20978021,32.10338816,713.0579803,1c:b9:c4:14:2b:8c,-90,Ariel_University,44
03/12/2017 08:37,35.2073457,32.10252819,700.1622739,14:ae:db:3a:64:05,-86,tanya,1
03/12/2017 08:50,35.20905902225487,32.10325834372407,709.3871692866734,ec:8c:a2:08:78:cc,-74,Ariel_University,48
03/12/2017 08:46,35.209569912082586,32.10199321629435,690.640765867288,1c:b9:c4:15:3d:5c,-82,Ariel_University,36
03/12/2017 08:39,35.21038077,32.10593532,688.6045855,00:1a:dd:f5:06:a4,-83, ,13
03/12/2017 09:06,35.21009379618329,32.103792991984555,703.0223738822457,24:79:2a:2b:bd:8c,-83,Ariel_University,44
