MAC, ,myLon,myLat,myAlt, , ,DiffLon,DiffLat,DiffAlt, , ,Lon,Lat,Alt
08:ed:b9:3d:8f:4b, ,35.21028241,32.1049281,722.9373547, , ,0.0,0.0,0.0, , ,35.21028241,32.1049281,722.9373547
d8:5d:4c:9e:69:22, ,35.20924847464597,32.10319110043961,700.5527057992607, , ,5.354031884508004E-9,4.39612790614774E-10,7.39305505703669E-10, , ,35.20924848,32.1031911,700.5527058
10:be:f5:a7:b4:f4, ,35.20734901,32.10251814,698.9056862, , ,0.0,0.0,0.0, , ,35.20734901,32.10251814,698.9056862
3c:52:82:ef:d4:56, ,35.20929027070707,32.10218764382711,694.1649424249407, , ,7.070752872095909E-10,3.8271110724963364E-9,2.4940732146205846E-8, , ,35.20929027,32.10218764,694.1649424
e4:95:6e:40:87:1a, ,35.2096084,32.10300921,701.0, , ,0.0,0.0,0.0, , ,35.2096084,32.10300921,701
30:e1:71:0d:e0:65, ,35.20912676871184,32.10419579465126,700.8868204746553, , ,1.2881571365142008E-9,4.651262486277119E-9,2.5344661480630748E-8, , ,35.20912677,32.10419579,700.8868205
30:e1:71:0d:e0:63, ,35.20958071247836,32.10347119739692,701.3552995359531, , ,2.478365956903872E-9,2.6030804178844846E-9,3.5953121368947905E-8, , ,35.20958071,32.1034712,701.3552995
3c:52:82:ef:d4:52, ,35.209908177216754,32.103607023662725,700.2261390593166, , ,2.7832456339638156E-9,3.6627270105782372E-9,4.0683403312868904E-8, , ,35.20990818,32.10360702,700.2261391
a2:6c:ac:a0:3d:eb, ,35.209423320606795,32.10377791882688,700.3527649175361, , ,6.06796390911768E-10,1.1731202675946406E-9,1.753608103172155E-8, , ,35.20942332,32.10377792,700.3527649
30:e1:71:0d:e0:67, ,35.2096924,32.10455252,689.0, , ,0.0,0.0,0.0, , ,35.2096924,32.10455252,689
00:12:2a:39:2c:3c, ,35.20734901,32.10251814,698.9056862, , ,0.0,0.0,0.0, , ,35.20734901,32.10251814,698.9056862
38:a2:8c:02:e7:6e, ,35.21047226,32.10500248,692.7188464, , ,0.0,0.0,0.0, , ,35.21047226,32.10500248,692.7188464
90:6c:ac:a0:7b:4d, ,35.209924426299224,32.10468953639806,687.646258204214, , ,3.7007765740781906E-9,3.6019400795339607E-9,4.21391632698942E-9, , ,35.20992443,32.10468954,687.6462582
00:11:6b:11:02:b7, ,35.209745133237575,32.10243136134581,691.2324346460551, , ,1.6526676242278882E-4,7.178686541919888E-4,9.255831953944835, , ,35.2099104,32.10314923,700.4882666
00:21:04:4c:2a:a2, ,35.2073457,32.10252819,700.1622739, , ,0.0,0.0,0.0, , ,35.2073457,32.10252819,700.1622739
14:ae:db:4f:50:75, ,35.21000358466558,32.10219395119086,700.9890867386623, , ,4.665579922402685E-9,1.1908625197065703E-9,6.133768692961894E-8, , ,35.21000358,32.10219395,700.9890868
ac:83:f3:b2:00:e9, ,35.21047226,32.10500248,692.7188464, , ,0.0,0.0,0.0, , ,35.21047226,32.10500248,692.7188464
90:6c:ac:9f:f1:c5, ,35.20944039571761,32.10432787290914,718.4184377682757, , ,5.717609496969089E-9,2.90913959588579E-9,3.172431206621695E-8, , ,35.20944039,32.10432787,718.4184378
00:1a:dd:e3:06:e4, ,35.20731989055549,32.10252980407737,699.8860444902843, , ,1.0530555485388504E-5,6.559226264357676E-7,0.11268949028431052, , ,35.20730936,32.10253046,699.773355
c2:6c:ac:9f:fb:1f, ,35.20962524876297,32.10445375454542,689.0950557020008, , ,1.2370335866762616E-9,4.5454200403582945E-9,2.0007746570627205E-9, , ,35.20962525,32.10445375,689.0950557
c4:12:f5:f6:a0:18, ,35.20997179214682,32.102569418007654,695.1230382045533, , ,2.1468196109708515E-9,1.9923476202166057E-9,4.553271537588444E-9, , ,35.20997179,32.10256942,695.1230382
70:5a:0f:57:04:17, ,35.21005988,32.10474846,687.0, , ,0.0,0.0,0.0, , ,35.21005988,32.10474846,687
84:c9:b2:4a:e7:87, ,35.20788087,32.10441405,689.9496965, , ,0.0,0.0,0.0, , ,35.20788087,32.10441405,689.9496965
00:8c:54:90:ce:d1, ,35.20733873,32.10251744,695.5775666, , ,0.0,0.0,0.0, , ,35.20733873,32.10251744,695.5775666
1c:b9:c4:16:cd:18, ,35.2120639949368,32.10576014795497,690.4608693475203, , ,0.0011507349368002906,0.0012751779549660114,6.521387552479723, , ,35.21091326,32.10448497,696.9822569
cc:b2:55:e7:7e:ba, ,35.21168764,32.10618195,689.1981253, , ,0.0,0.0,0.0, , ,35.21168764,32.10618195,689.1981253
40:a5:ef:7a:17:f2, ,35.2099186269824,32.10248598826309,697.3346164825905, , ,3.017596839072212E-9,1.7369075067108497E-9,1.7409547581337392E-8, , ,35.20991863,32.10248599,697.3346165
00:25:86:cc:07:b2, ,35.208427924999995,32.104100165,703.2732683999999, , ,4.999996860988176E-9,4.999996860988176E-9,1.1368683772161603E-13, , ,35.20842792,32.10410016,703.2732684
00:11:6b:2a:90:3c, ,35.20973323988146,32.10492080361653,703.1072222732039, , ,1.1853984460685751E-10,3.6165275218991155E-9,2.679610133782262E-8, , ,35.20973324,32.1049208,703.1072223
f8:d1:11:77:77:c6, ,35.20877020406452,32.10291772418434,690.8481706736357, , ,2.799559354755843E-4,3.8452581566161825E-4,4.758659026364398, , ,35.20905016,32.10330225,695.6068297
00:25:86:cc:00:f8, ,35.20818645055072,32.1036511338293,693.5284770476242, , ,5.507203582055809E-10,3.8292995441224775E-9,5.237586719886167E-8, , ,35.20818645,32.10365113,693.5284771
9c:d2:1e:04:e6:2c, ,35.21000489,32.10473133,687.0, , ,0.0,0.0,0.0, , ,35.21000489,32.10473133,687
c4:12:f5:fd:6a:74, ,35.21004948,32.10483384,692.7415285, , ,0.0,0.0,0.0, , ,35.21004948,32.10483384,692.7415285
30:e1:71:0f:a2:72, ,35.209728565210945,32.102013149441845,690.955784869766, , ,4.789058039023075E-9,5.581526352216315E-10,3.023399131052429E-8, , ,35.20972857,32.10201315,690.9557849
08:97:58:32:a6:3e, ,35.20975997,32.10572051,688.5550301, , ,0.0,0.0,0.0, , ,35.20975997,32.10572051,688.5550301
14:ae:db:cf:86:f5, ,35.20814477323022,32.10314760878292,691.7941043278232, , ,3.2302196473210643E-9,1.217081546656118E-9,2.782326191663742E-8, , ,35.20814477,32.10314761,691.7941043
a0:4f:d4:3a:a0:e1, ,35.2073457,32.10252819,700.1622739, , ,0.0,0.0,0.0, , ,35.2073457,32.10252819,700.1622739
80:37:73:d7:ab:3a, ,35.2075634,32.10246378,694.1299433, , ,0.0,0.0,0.0, , ,35.2075634,32.10246378,694.1299433
3c:52:82:ef:a4:8b, ,35.21013481964975,32.1037734409584,699.0985950933108, , ,3.502478307382262E-10,9.58401358275296E-10,6.6892198447021656E-9, , ,35.21013482,32.10377344,699.0985951
